Date,Relative Humidity (%),Temperature (C),Solar Radiation (kWh/m²),Wind Speed (m/s),Precipitation (mm),District
20000101,45.62,8.08,9.48,2.63,0.0,BGAFUROV
20000101,41.56,9.37,10.84,1.81,0.0,BOKHTAR
20000101,43.19,6.23,8.93,2.1,0.0,DUSHANBE
20000101,49.25,8.28,9.55,2.8,0.0,ISTARAVSHAN
20000101,45.62,8.08,9.48,2.63,0.0,JRASULOV
20000101,55.0,7.78,9.48,1.31,0.0,KHUJAND
20000101,38.0,5.96,11.06,1.88,0.0,KULOB
20000102,46.69,8.33,8.36,2.1,0.0,BGAFUROV
20000102,34.75,10.4,11.14,1.62,0.0,BOKHTAR
20000102,37.25,6.9,9.18,2.34,0.0,DUSHANBE
20000102,51.44,7.94,9.34,2.41,0.0,ISTARAVSHAN
20000102,46.69,8.33,8.36,2.1,0.0,JRASULOV
20000102,65.06,7.34,8.36,2.11,0.0,KHUJAND
20000102,29.62,6.98,11.38,1.93,0.0,KULOB
20000103,39.19,8.55,8.47,2.11,0.0,BGAFUROV
20000103,31.38,10.51,11.32,1.61,0.0,BOKHTAR
20000103,32.81,7.08,8.99,2.41,0.0,DUSHANBE
20000103,43.69,7.44,9.9,2.31,0.0,ISTARAVSHAN
20000103,39.19,8.55,8.47,2.11,0.0,JRASULOV
20000103,70.56,5.75,8.47,1.75,0.0,KHUJAND
20000103,26.81,7.13,11.53,2.07,0.0,KULOB
20000104,30.25,10.09,9.38,1.91,0.0,BGAFUROV
20000104,29.19,10.62,11.4,1.69,0.0,BOKHTAR
20000104,29.44,7.56,9.32,2.08,0.0,DUSHANBE
20000104,37.69,9.28,9.7,2.48,0.0,ISTARAVSHAN
20000104,30.25,10.09,9.38,1.91,0.0,JRASULOV
20000104,50.5,7.7,9.38,3.2,0.0,KHUJAND
20000104,24.25,7.42,11.65,1.77,0.0,KULOB
20000105,37.69,8.9,6.0,2.52,0.0,BGAFUROV
20000105,30.38,10.02,9.1,1.87,0.0,BOKHTAR
20000105,33.38,6.58,8.46,2.25,0.0,DUSHANBE
20000105,40.75,9.29,5.18,2.46,0.0,ISTARAVSHAN
20000105,37.69,8.9,6.0,2.52,0.0,JRASULOV
20000105,43.94,8.12,6.0,2.17,0.0,KHUJAND
20000105,27.5,6.97,10.28,2.02,0.0,KULOB
20000106,56.62,7.59,5.03,2.76,0.1,BGAFUROV
20000106,45.31,10.05,4.0,2.87,0.0,BOKHTAR
20000106,53.06,6.72,5.42,2.2,0.0,DUSHANBE
20000106,56.19,8.51,5.68,2.81,0.09,ISTARAVSHAN
20000106,56.62,7.59,5.03,2.76,0.1,JRASULOV
20000106,64.94,7.12,5.03,1.63,0.18,KHUJAND
20000106,42.56,7.31,6.52,1.87,0.0,KULOB
20000107,59.25,7.99,7.59,2.25,0.22,BGAFUROV
20000107,62.81,9.87,4.63,2.78,0.0,BOKHTAR
20000107,80.0,5.33,6.01,2.45,0.01,DUSHANBE
20000107,65.44,7.87,9.39,2.62,0.2,ISTARAVSHAN
20000107,59.25,7.99,7.59,2.25,0.22,JRASULOV
20000107,83.88,7.27,7.59,2.21,0.36,KHUJAND
20000107,72.69,5.4,6.13,2.46,0.0,KULOB
20000108,84.62,0.28,1.48,3.9,2.81,BGAFUROV
20000108,78.5,4.08,1.61,3.21,0.18,BOKHTAR
20000108,87.31,0.82,3.3,3.03,0.54,DUSHANBE
20000108,78.19,1.95,3.16,4.89,2.75,ISTARAVSHAN
20000108,84.62,0.28,1.48,3.9,2.81,JRASULOV
20000108,83.38,2.09,1.48,4.97,4.23,KHUJAND
20000108,87.94,-0.51,1.78,4.1,0.33,KULOB
20000109,78.19,-4.88,5.74,3.1,1.89,BGAFUROV
20000109,66.19,0.05,6.44,1.4,0.25,BOKHTAR
20000109,75.06,-3.32,4.86,1.98,0.69,DUSHANBE
20000109,80.25,-4.48,5.0,3.02,1.95,ISTARAVSHAN
20000109,78.19,-4.88,5.74,3.1,1.89,JRASULOV
20000109,79.25,-3.63,5.74,4.03,1.36,KHUJAND
20000109,81.0,-4.24,4.67,1.86,0.34,KULOB
20000110,55.06,-2.68,7.18,2.87,0.0,BGAFUROV
20000110,43.31,2.26,10.92,1.65,0.0,BOKHTAR
20000110,41.06,-0.53,5.15,1.85,0.0,DUSHANBE
20000110,60.62,-2.77,7.78,2.67,0.0,ISTARAVSHAN
20000110,55.06,-2.68,7.18,2.87,0.0,JRASULOV
20000110,66.31,-2.04,7.18,2.41,0.0,KHUJAND
20000110,36.75,-1.12,8.44,1.7,0.0,KULOB
20000111,69.31,-3.81,7.85,2.3,0.02,BGAFUROV
20000111,58.5,1.09,3.65,0.98,0.2,BOKHTAR
20000111,57.06,-0.62,7.4,0.93,0.21,DUSHANBE
20000111,72.31,-3.76,5.69,2.5,0.02,ISTARAVSHAN
20000111,69.31,-3.81,7.85,2.3,0.02,JRASULOV
20000111,81.0,-4.13,7.85,2.27,0.0,KHUJAND
20000111,61.62,-1.89,2.91,1.39,0.12,KULOB
20000112,80.25,-5.19,7.02,2.48,0.0,BGAFUROV
20000112,77.88,-1.83,2.66,2.13,0.31,BOKHTAR
20000112,77.25,-2.86,3.72,1.61,0.19,DUSHANBE
20000112,81.19,-5.34,8.19,2.26,0.0,ISTARAVSHAN
20000112,80.25,-5.19,7.02,2.48,0.0,JRASULOV
20000112,82.31,-5.02,7.02,2.61,0.02,KHUJAND
20000112,80.12,-4.1,2.19,2.09,0.19,KULOB
20000113,81.25,-6.96,7.55,2.37,0.04,BGAFUROV
20000113,74.19,-4.18,4.63,2.2,0.07,BOKHTAR
20000113,76.06,-6.46,5.12,2.47,0.07,DUSHANBE
20000113,79.62,-6.59,6.99,2.16,0.03,ISTARAVSHAN
20000113,81.25,-6.96,7.55,2.37,0.04,JRASULOV
20000113,71.25,-4.95,7.55,2.3,0.03,KHUJAND
20000113,74.31,-7.77,4.65,2.51,0.05,KULOB
20000114,75.69,-5.99,7.03,1.97,0.16,BGAFUROV
20000114,61.0,-2.67,10.04,1.24,0.0,BOKHTAR
20000114,64.5,-5.42,6.58,1.99,0.01,DUSHANBE
20000114,74.12,-5.42,5.74,1.98,0.13,ISTARAVSHAN
20000114,75.69,-5.99,7.03,1.97,0.16,JRASULOV
20000114,67.69,-4.03,7.03,2.16,0.14,KHUJAND
20000114,66.75,-7.03,9.37,1.56,0.01,KULOB
20000115,65.12,-4.6,6.05,1.86,0.0,BGAFUROV
20000115,54.5,-1.84,8.86,1.05,0.0,BOKHTAR
20000115,62.75,-5.25,8.19,1.37,0.0,DUSHANBE
20000115,66.75,-4.12,10.4,1.66,0.0,ISTARAVSHAN
20000115,65.12,-4.6,6.05,1.86,0.0,JRASULOV
20000115,71.25,-3.77,6.05,2.7,0.0,KHUJAND
20000115,64.88,-6.48,8.2,1.75,0.0,KULOB
20000116,51.44,-2.43,10.01,2.31,0.0,BGAFUROV
20000116,42.44,0.19,12.01,1.5,0.0,BOKHTAR
20000116,46.38,-2.77,9.36,2.02,0.0,DUSHANBE
20000116,55.25,-2.23,11.39,2.48,0.0,ISTARAVSHAN
20000116,51.44,-2.43,10.01,2.31,0.0,JRASULOV
20000116,63.19,-2.52,10.01,3.16,0.0,KHUJAND
20000116,44.62,-3.38,10.77,1.88,0.0,KULOB
20000117,45.31,2.28,8.85,3.19,0.01,BGAFUROV
20000117,34.06,5.37,11.02,3.04,0.02,BOKHTAR
20000117,40.88,1.9,9.08,2.99,0.04,DUSHANBE
20000117,45.19,2.74,10.94,3.02,0.01,ISTARAVSHAN
20000117,45.31,2.28,8.85,3.19,0.01,JRASULOV
20000117,47.75,1.64,8.85,4.1,0.03,KHUJAND
20000117,37.38,3.23,10.35,2.27,0.01,KULOB
20000118,80.81,-0.08,2.84,2.34,0.65,BGAFUROV
20000118,88.38,2.47,3.11,1.85,1.42,BOKHTAR
20000118,94.06,-0.11,1.83,1.86,1.04,DUSHANBE
20000118,83.44,0.22,3.27,2.66,0.61,ISTARAVSHAN
20000118,80.81,-0.08,2.84,2.34,0.65,JRASULOV
20000118,84.0,0.15,2.84,1.86,1.24,KHUJAND
20000118,89.75,0.87,4.38,1.61,0.61,KULOB
20000119,52.12,2.59,9.44,2.62,0.65,BGAFUROV
20000119,75.44,3.19,10.6,2.4,0.73,BOKHTAR
20000119,74.5,0.33,7.85,2.24,0.71,DUSHANBE
20000119,53.06,3.4,9.83,2.74,0.57,ISTARAVSHAN
20000119,52.12,2.59,9.44,2.62,0.65,JRASULOV
20000119,74.44,2.2,9.44,3.03,0.33,KHUJAND
20000119,67.19,0.66,8.69,1.84,0.78,KULOB
20000120,41.19,4.13,6.09,2.86,0.36,BGAFUROV
20000120,40.94,5.21,5.16,2.94,0.0,BOKHTAR
20000120,43.06,1.85,6.74,2.73,0.01,DUSHANBE
20000120,43.19,5.24,5.63,3.08,0.35,ISTARAVSHAN
20000120,41.19,4.13,6.09,2.86,0.36,JRASULOV
20000120,53.69,4.37,6.09,5.09,0.84,KHUJAND
20000120,28.94,2.29,9.03,2.7,0.0,KULOB
20000121,37.62,5.53,11.21,3.82,0.0,BGAFUROV
20000121,36.81,6.9,11.37,2.37,0.0,BOKHTAR
20000121,39.25,4.03,9.5,2.7,0.0,DUSHANBE
20000121,40.94,5.76,10.21,3.02,0.0,ISTARAVSHAN
20000121,37.62,5.53,11.21,3.82,0.0,JRASULOV
20000121,50.75,5.17,11.21,7.95,0.0,KHUJAND
20000121,35.38,3.67,11.53,2.95,0.0,KULOB
20000122,46.25,6.58,10.83,3.41,0.03,BGAFUROV
20000122,41.44,8.94,11.96,2.2,0.02,BOKHTAR
20000122,49.94,4.67,8.97,2.05,0.05,DUSHANBE
