Date,Relative Humidity (%),District
2000-01-01,45.62,JRASULOV
2000-01-02,46.69,JRASULOV
2000-01-03,39.19,JRASULOV
2000-01-04,30.25,JRASULOV
2000-01-05,37.69,JRASULOV
2000-01-06,56.62,JRASULOV
2000-01-07,59.25,JRASULOV
2000-01-08,84.62,JRASULOV
2000-01-09,78.19,JRASULOV
2000-01-10,55.06,JRASULOV
2000-01-11,69.31,JRASULOV
2000-01-12,80.25,JRASULOV
2000-01-13,81.25,JRASULOV
2000-01-14,75.69,JRASULOV
2000-01-15,65.12,JRASULOV
2000-01-16,51.44,JRASULOV
2000-01-17,45.31,JRASULOV
2000-01-18,80.81,JRASULOV
2000-01-19,52.12,JRASULOV
2000-01-20,41.19,JRASULOV
2000-01-21,37.62,JRASULOV
2000-01-22,46.25,JRASULOV
2000-01-23,67.88,JRASULOV
2000-01-24,70.5,JRASULOV
2000-01-25,76.19,JRASULOV
2000-01-26,44.56,JRASULOV
2000-01-27,30.88,JRASULOV
2000-01-28,35.38,JRASULOV
2000-01-29,54.0,JRASULOV
2000-01-30,78.38,JRASULOV
2000-01-31,86.44,JRASULOV
2000-02-01,60.75,JRASULOV
2000-02-02,41.0,JRASULOV
2000-02-03,69.56,JRASULOV
2000-02-04,62.56,JRASULOV
2000-02-05,39.31,JRASULOV
2000-02-06,39.75,JRASULOV
2000-02-07,36.81,JRASULOV
2000-02-08,50.69,JRASULOV
2000-02-09,89.38,JRASULOV
2000-02-10,72.31,JRASULOV
2000-02-11,58.44,JRASULOV
2000-02-12,42.5,JRASULOV
2000-02-13,32.56,JRASULOV
2000-02-14,31.44,JRASULOV
2000-02-15,80.62,JRASULOV
2000-02-16,74.5,JRASULOV
2000-02-17,47.12,JRASULOV
2000-02-18,40.44,JRASULOV
2000-02-19,48.44,JRASULOV
2000-02-20,54.5,JRASULOV
2000-02-21,36.12,JRASULOV
2000-02-22,30.5,JRASULOV
2000-02-23,35.19,JRASULOV
2000-02-24,37.62,JRASULOV
2000-02-25,33.44,JRASULOV
2000-02-26,31.25,JRASULOV
2000-02-27,73.75,JRASULOV
2000-02-28,48.31,JRASULOV
2000-02-29,64.88,JRASULOV
2000-03-01,53.44,JRASULOV
2000-03-02,47.31,JRASULOV
2000-03-03,39.0,JRASULOV
2000-03-04,72.5,JRASULOV
2000-03-05,53.62,JRASULOV
2000-03-06,42.94,JRASULOV
2000-03-07,40.25,JRASULOV
2000-03-08,36.81,JRASULOV
2000-03-09,34.75,JRASULOV
2000-03-10,54.12,JRASULOV
2000-03-11,59.31,JRASULOV
2000-03-12,37.62,JRASULOV
2000-03-13,44.5,JRASULOV
2000-03-14,38.69,JRASULOV
2000-03-15,55.31,JRASULOV
2000-03-16,83.44,JRASULOV
2000-03-17,55.69,JRASULOV
2000-03-18,46.44,JRASULOV
2000-03-19,40.62,JRASULOV
2000-03-20,33.5,JRASULOV
2000-03-21,26.88,JRASULOV
2000-03-22,26.69,JRASULOV
2000-03-23,27.44,JRASULOV
2000-03-24,31.31,JRASULOV
2000-03-25,35.69,JRASULOV
2000-03-26,60.81,JRASULOV
2000-03-27,84.25,JRASULOV
2000-03-28,70.62,JRASULOV
2000-03-29,63.44,JRASULOV
2000-03-30,68.69,JRASULOV
2000-03-31,42.12,JRASULOV
2000-04-01,38.44,JRASULOV
2000-04-02,50.0,JRASULOV
2000-04-03,82.25,JRASULOV
2000-04-04,58.12,JRASULOV
2000-04-05,42.25,JRASULOV
2000-04-06,34.94,JRASULOV
2000-04-07,34.25,JRASULOV
2000-04-08,32.12,JRASULOV
2000-04-09,32.56,JRASULOV
2000-04-10,33.06,JRASULOV
2000-04-11,29.62,JRASULOV
2000-04-12,48.06,JRASULOV
2000-04-13,77.94,JRASULOV
2000-04-14,50.62,JRASULOV
2000-04-15,46.06,JRASULOV
2000-04-16,42.12,JRASULOV
2000-04-17,47.56,JRASULOV
2000-04-18,45.62,JRASULOV
2000-04-19,42.94,JRASULOV
2000-04-20,44.25,JRASULOV
2000-04-21,40.25,JRASULOV
2000-04-22,35.31,JRASULOV
2000-04-23,34.69,JRASULOV
2000-04-24,33.38,JRASULOV
2000-04-25,35.88,JRASULOV
2000-04-26,47.75,JRASULOV
2000-04-27,46.69,JRASULOV
2000-04-28,53.38,JRASULOV
2000-04-29,42.81,JRASULOV
2000-04-30,31.12,JRASULOV
2000-05-01,21.81,JRASULOV
2000-05-02,34.56,JRASULOV
2000-05-03,41.06,JRASULOV
2000-05-04,30.19,JRASULOV
2000-05-05,41.06,JRASULOV
2000-05-06,36.19,JRASULOV
2000-05-07,22.0,JRASULOV
2000-05-08,24.0,JRASULOV
2000-05-09,27.75,JRASULOV
2000-05-10,30.88,JRASULOV
2000-05-11,37.19,JRASULOV
2000-05-12,30.69,JRASULOV
2000-05-13,23.62,JRASULOV
2000-05-14,18.38,JRASULOV
2000-05-15,15.44,JRASULOV
2000-05-16,13.06,JRASULOV
2000-05-17,14.44,JRASULOV
2000-05-18,21.19,JRASULOV
2000-05-19,18.12,JRASULOV
2000-05-20,19.12,JRASULOV
2000-05-21,34.62,JRASULOV
2000-05-22,33.94,JRASULOV
2000-05-23,21.69,JRASULOV
2000-05-24,18.88,JRASULOV
2000-05-25,18.81,JRASULOV
2000-05-26,17.94,JRASULOV
2000-05-27,14.5,JRASULOV
2000-05-28,15.56,JRASULOV
2000-05-29,20.75,JRASULOV
2000-05-30,27.31,JRASULOV
2000-05-31,26.62,JRASULOV
2000-06-01,27.25,JRASULOV
2000-06-02,29.06,JRASULOV
2000-06-03,21.69,JRASULOV
2000-06-04,11.44,JRASULOV
2000-06-05,9.88,JRASULOV
2000-06-06,10.5,JRASULOV
2000-06-07,11.31,JRASULOV
2000-06-08,14.31,JRASULOV
2000-06-09,17.94,JRASULOV
2000-06-10,15.56,JRASULOV
2000-06-11,13.62,JRASULOV
2000-06-12,10.69,JRASULOV
2000-06-13,18.88,JRASULOV
2000-06-14,53.56,JRASULOV
2000-06-15,29.12,JRASULOV
2000-06-16,27.25,JRASULOV
2000-06-17,28.88,JRASULOV
2000-06-18,22.19,JRASULOV
2000-06-19,21.0,JRASULOV
2000-06-20,31.62,JRASULOV
2000-06-21,26.56,JRASULOV
2000-06-22,28.44,JRASULOV
2000-06-23,23.56,JRASULOV
2000-06-24,18.69,JRASULOV
2000-06-25,13.06,JRASULOV
2000-06-26,16.81,JRASULOV
2000-06-27,21.81,JRASULOV
2000-06-28,25.88,JRASULOV
2000-06-29,24.31,JRASULOV
2000-06-30,27.44,JRASULOV
2000-07-01,24.88,JRASULOV
2000-07-02,23.44,JRASULOV
2000-07-03,22.06,JRASULOV
2000-07-04,18.38,JRASULOV
2000-07-05,16.19,JRASULOV
2000-07-06,16.19,JRASULOV
2000-07-07,17.31,JRASULOV
2000-07-08,19.62,JRASULOV
2000-07-09,17.5,JRASULOV
2000-07-10,19.25,JRASULOV
2000-07-11,26.56,JRASULOV
2000-07-12,25.12,JRASULOV
2000-07-13,22.94,JRASULOV
2000-07-14,29.19,JRASULOV
2000-07-15,29.88,JRASULOV
2000-07-16,32.12,JRASULOV
2000-07-17,36.38,JRASULOV
2000-07-18,34.38,JRASULOV
2000-07-19,29.0,JRASULOV
2000-07-20,21.75,JRASULOV
2000-07-21,21.0,JRASULOV
2000-07-22,21.62,JRASULOV
2000-07-23,24.06,JRASULOV
2000-07-24,25.5,JRASULOV
2000-07-25,25.69,JRASULOV
2000-07-26,20.94,JRASULOV
2000-07-27,17.25,JRASULOV
2000-07-28,17.12,JRASULOV
2000-07-29,18.31,JRASULOV
2000-07-30,18.12,JRASULOV
2000-07-31,15.19,JRASULOV
2000-08-01,18.88,JRASULOV
2000-08-02,21.56,JRASULOV
2000-08-03,22.31,JRASULOV
2000-08-04,18.44,JRASULOV
2000-08-05,14.94,JRASULOV
2000-08-06,15.81,JRASULOV
2000-08-07,17.31,JRASULOV
2000-08-08,20.44,JRASULOV
2000-08-09,25.75,JRASULOV
2000-08-10,20.25,JRASULOV
2000-08-11,15.5,JRASULOV
2000-08-12,15.06,JRASULOV
2000-08-13,14.94,JRASULOV
2000-08-14,14.56,JRASULOV
2000-08-15,16.0,JRASULOV
2000-08-16,17.56,JRASULOV
2000-08-17,25.25,JRASULOV
2000-08-18,29.0,JRASULOV
2000-08-19,25.94,JRASULOV
2000-08-20,23.31,JRASULOV
2000-08-21,23.38,JRASULOV
2000-08-22,20.31,JRASULOV
2000-08-23,24.94,JRASULOV
2000-08-24,22.81,JRASULOV
2000-08-25,13.88,JRASULOV
2000-08-26,13.81,JRASULOV
2000-08-27,13.25,JRASULOV
2000-08-28,12.56,JRASULOV
2000-08-29,16.69,JRASULOV
2000-08-30,20.81,JRASULOV
2000-08-31,22.06,JRASULOV
2000-09-01,18.75,JRASULOV
